lsoa11,year,dla_pip_pct,est_qof_dep,antidep_rate,z_mh_rate,samhi_index,samhi_dec
E01000169,2017,1.499063086,7.191006694,23.26819348,-1.0254761,-0.97514235,1
E01000170,2017,1.775486827,7.751903025,22.10209356,-0.484035888,-0.59433656,3
E01000171,2017,1.577998197,7.453486976,23.1980296,-0.782083772,-0.794705862,2
E01000172,2017,0.616591928,6.177858804,19.57457856,-1.07454452,-1.232837575,1
E01000173,2017,0.935608145,7.531735101,21.76732552,-0.949145109,-0.927379967,1
E01000174,2017,1.325556734,7.863129695,22.37101421,0.21863986,-0.16077283,5
E01000175,2017,0.960307298,7.75272998,21.84702058,-1.103124092,-0.991701737,1
E01000176,2017,2.230259192,6.329062147,20.81539032,-0.234559889,-0.643827175,2
E01000177,2017,0,6.16011751,23.28934442,-1.237670089,-1.291958432,1
E01000178,2017,0.488864747,5.572541229,22.00821265,-1.04178014,-1.264959364,1
E01000179,2017,1.107419712,6.38440048,22.42792694,-1.1665291,-1.192866578,1
E01000180,2017,1.482326112,6.200744925,21.7628313,-0.804852348,-1.003833929,1
E01000181,2017,0.598151169,5.434791271,21.35693512,-1.450558479,-1.542315967,1
E01000182,2017,0.882658359,5.083700522,21.05764582,-0.943922126,-1.291204084,1
E01000183,2017,0.82226439,6.722661848,21.72808568,0.508582669,-0.153715459,5
E01000184,2017,2.473498233,6.364995215,18.95372342,-1.305058947,-1.316067844,1
E01000185,2017,3.58056266,6.434618314,22.60178294,-0.493965703,-0.734712893,2
E01000186,2017,1.458576429,6.381560593,24.29269393,-1.397365748,-1.290725402,1
E01000187,2017,1.456876457,6.486741478,23.46949744,-0.285835375,-0.618869197,2
E01000188,2017,1.3125,6.141223022,22.60373565,-1.056389644,-1.15304773,1
E01000189,2017,1.064395955,5.842391022,21.0081251,-0.575641389,-0.941984662,1
E01000190,2017,0.932400932,5.84220867,22.40141114,-0.988134908,-1.169591487,1
E01000191,2017,1.599488164,6.237772011,23.31670251,-1.167809909,-1.18723017,1
E01000192,2017,1.672240803,6.147071114,24.65518942,-0.722591529,-0.905335215,1
E01000193,2017,2.321083172,6.010014253,22.38731941,-0.321323915,-0.712614161,2
E01000194,2017,1.240310078,5.468129986,19.83054477,-0.636395355,-1.054458111,1
E01000195,2017,3.232426886,6.38457513,20.30119919,-0.386955337,-0.723117204,2
E01000196,2017,0.983146067,5.704797671,18.77338011,-0.391213184,-0.894449608,1
E01000197,2017,0.669068451,6.086847512,19.09426308,-1.106284244,-1.272379618,1
E01000198,2017,1.166044776,6.123013023,20.01474961,-1.099015688,-1.232080666,1
E01000199,2017,0,5.869874687,19.78029885,-1.255155043,-1.409541481,1
E01000200,2017,0.842000991,5.540984958,19.08954545,-0.982351981,-1.275858333,1
E01000201,2017,0,5.547092653,19.99219425,-1.036593576,-1.323700275,1
E01000202,2017,1.044689495,5.18402309,18.96732589,-1.195349955,-1.459844852,1
E01000203,2017,0.514403292,5.477492997,19.16393657,-0.87415574,-1.229651156,1
E01000204,2017,0.677966102,5.949204147,19.02133478,-1.097348437,-1.288470597,1
E01000205,2017,0.427611484,6.475439656,22.23313975,-0.950006093,-1.073394242,1
E01000206,2017,0,6.15649778,22.34451833,-1.240810066,-1.311580557,1
E01000207,2017,0.634517766,6.666679239,22.41799665,-0.822363699,-0.959320639,1
E01000208,2017,0.423216445,7.02724029,21.55712355,-1.049596733,-1.071829432,1
E01000209,2017,0.400266845,5.09569916,22.99192697,-0.639269138,-1.085449339,1
E01000210,2017,0.810473815,7.403846628,21.81503028,-1.371247185,-1.201046462,1
E01000211,2017,1.512455516,5.224911506,22.53103797,-0.79537743,-1.135313903,1
E01000212,2017,0.808080808,5.121946962,22.98331359,-1.338634397,-1.490444749,1
E01000213,2017,0,6.629659717,22.40284811,-1.382832776,-1.329646553,1
E01000214,2017,0.282167043,5.357082493,22.28344925,-1.296480866,-1.45665328,1
E01000215,2017,1.517067004,6.188569129,23.81582509,-0.381613583,-0.711569479,2
E01000216,2017,1.450631727,5.480863602,22.57875237,-0.626838442,-0.991844194,1
E01000217,2017,1.234567901,5.520752209,23.14265412,-1.293058437,-1.382937876,1
E01000218,2017,1.11223458,6.228049836,24.06234002,-0.737377049,-0.925809855,1
E01000219,2017,2.34948605,6.362838993,23.5600842,-0.967122642,-1.030122039,1
E01000220,2017,2.635294118,6.25671049,23.99936463,1.553652349,0.491354966,8
E01000221,2017,4.054054054,6.705096604,19.86364178,-0.948854642,-1.017129409,1
E01000222,2017,2.248953975,6.614808372,19.79703741,-0.832762156,-0.983900683,1
E01000223,2017,1.953942777,6.636759889,19.61447573,-0.656895064,-0.882934218,1
E01000224,2017,1.509433962,6.671226841,20.02001344,-0.862361454,-1.003762273,1
E01000225,2017,1.25250501,5.753823908,23.17957418,0.259537509,-0.406396534,3
E01000226,2017,2.113821138,5.323211037,17.68703173,-0.335748126,-0.917813231,1
E01000227,2017,0.768049155,5.672232139,21.60685421,-0.286959126,-0.791012809,2
E01000228,2017,1.467772814,6.318031446,21.35753946,-0.977098453,-1.098831576,1
E01000229,2017,1.803833145,6.19380622,21.22191712,-0.476156965,-0.809458545,2
E01000230,2017,1.379310345,6.237254071,23.44191908,-0.686025023,-0.898399278,1
E01000231,2017,0.802407222,6.055616371,20.95208648,-0.77091162,-1.036294966,1
E01000232,2017,1.545363908,5.751227508,21.74262495,-0.9771943,-1.174289445,1
E01000233,2017,0.688924218,5.652244635,20.28558129,-1.139564756,-1.336176697,1
E01000234,2017,0.608743774,6.108148398,21.25835875,-1.111289952,-1.234845206,1
E01000235,2017,2.005277045,6.314112732,19.07069858,-0.956772324,-1.118254337,1
E01000236,2017,1.077902989,6.359025244,22.01835133,-0.867916437,-1.024093054,1
E01000237,2017,0.976744186,6.388222672,20.32944441,-1.264399945,-1.29310112,1
E01000238,2017,1.235741445,6.117137288,20.8626721,-1.10996919,-1.222449827,1
E01000239,2017,1.449975834,6.710262715,19.19448618,-0.953045389,-1.069603848,1
E01000240,2017,0.965360591,6.841571376,18.95159725,-0.409515467,-0.739460734,2
E01000241,2017,1.274238227,6.386715221,20.3280042,-0.72107627,-0.957355105,1
E01000242,2017,1.478415139,6.251116081,20.71865926,0.47860583,-0.239568271,4
E01000243,2017,1.404056162,6.309068675,20.40071399,-0.57704499,-0.877007647,1
E01000244,2017,0.581733566,6.080224194,18.50765725,-0.872668122,-1.145621743,1
E01000245,2017,1.700984781,6.450576047,21.15759692,-0.317193647,-0.67992599,2
E01000246,2017,0.392156863,6.079769519,24.89741714,-0.892085119,-1.047914516,1
E01000247,2017,0.684150513,5.907320085,25.54653776,-0.776223832,-0.981638261,1
E01000248,2017,1.465614431,6.887019654,23.96342817,0.033346698,-0.362382316,4
E01000249,2017,0.932090546,6.834609062,24.01651588,-1.009292734,-1.011785429,1
E01000250,2017,1.564774381,6.036052838,24.2205183,-0.882841092,-1.028649316,1
E01000251,2017,3.774486383,5.448638982,26.31407555,0.093122836,-0.458284694,3
E01000252,2017,1.895462378,5.414246733,25.07837857,-0.682215087,-0.98174858,1
E01000253,2017,0.303582271,6.77340124,23.67972922,0.020594499,-0.424236421,3
E01000254,2017,0.366748166,6.673827804,24.16868262,-0.519792127,-0.753028521,2
E01000255,2017,1.490312966,6.844869434,20.9033243,-0.767946735,-0.907663762,1
E01000256,2017,1.467505241,6.576995208,21.35467238,-1.067640516,-1.117381331,1
E01000257,2017,2.4,6.942218023,19.87830355,-0.626637929,-0.811476161,2
E01000258,2017,0.79533404,6.447374956,21.84515328,-0.793103423,-0.977327914,1
E01000259,2017,1.607717042,6.937390398,20.08286512,-1.293838443,-1.225923092,1
E01000260,2017,1.153668666,6.663926976,20.83806154,-0.665950541,-0.879219945,1
E01000261,2017,0.351906158,6.455156482,21.86579108,-0.423463429,-0.767415382,2
E01000262,2017,1.108801109,6.882996916,20.54686747,-1.204044562,-1.181629663,1
E01000263,2017,0.642673522,6.382198896,21.9436595,-1.616864503,-1.487534337,1
E01000264,2017,1.636661211,6.191159653,21.42164517,-1.065960654,-1.16611662,1
E01000265,2017,0.881488737,7.288752823,23.07371063,-0.745408221,-0.812037807,2
E01000266,2017,0.327868852,7.26618072,22.16486589,-0.922107239,-0.956778734,1
E01000267,2017,1.567398119,7.260264785,23.52906125,-0.991162061,-0.939433787,1
E01000268,2017,1.07879925,5.406811466,25.46749688,-0.365058188,-0.801695723,2
E01000269,2017,1.186322401,5.959909411,24.33003638,-0.937226769,-1.079366353,1
E01000270,2017,0.73089701,6.193171302,24.60607518,-0.877365239,-1.016180746,1
E01000271,2017,0.751408892,7.077310702,22.22897166,-0.268959518,-0.570058874,3
E01000272,2017,0,7.281656348,20.99183156,-0.695236622,-0.854055153,2
E01000273,2017,1.288343558,7.353004699,20.37330521,0.100967941,-0.330948029,4
E01000274,2017,0.948103792,7.320675766,22.40891684,-0.926280683,-0.9276521,1
E01000275,2017,0.515759312,7.190261471,22.37740917,0.466319376,-0.115942825,5
E01000276,2017,0.77871512,7.076678477,21.21450881,-1.159095396,-1.12603272,1
E01000277,2017,1.189296333,7.457798678,22.30764998,-0.409642639,-0.593851068,3
E01000278,2017,0.313479624,6.726852855,20.38671436,-1.211538811,-1.235081468,1
E01000279,2017,0.339443313,7.339846869,20.25710007,-1.266873445,-1.190263835,1
E01000280,2017,0.374812594,7.434692159,20.53970445,-1.175950019,-1.116965801,1
E01000281,2017,0.605449041,7.320526242,20.20511003,0.552618848,-0.083790139,5
E01000282,2017,0.722222222,7.387544933,20.3766946,-0.662345958,-0.803242692,2
E01000283,2017,0.551724138,7.39192829,21.12407725,-1.328023665,-1.197156531,1
E01000284,2017,2.072829132,7.406860972,22.79294689,-0.568574872,-0.669413854,2
E01000285,2017,1.373825018,5.677582529,24.18305767,-0.543738756,-0.882910837,1
E01000286,2017,1.952410006,5.858254308,24.11555045,0.795305265,-0.035022083,5
E01000287,2017,2.770780856,6.070234924,23.94743749,-0.323648102,-0.669961276,2
E01000288,2017,1.387137453,5.763133935,24.34149728,-1.208323081,-1.268320273,1
E01000289,2017,2.764227642,5.505613135,23.57652536,-0.5806965,-0.919012798,1
E01000290,2017,2.201257862,6.50149999,24.29920185,-0.072826602,-0.458855419,3
E01000291,2017,3.15258512,5.756703138,23.89278312,-0.353474879,-0.731160811,2
E01000292,2017,1.628468034,5.931088787,23.98502769,-0.687920919,-0.929438465,1
