,LSOA11CD,17-18_April,17-18_May,17-18_June,17-18_July,17-18_August,17-18_September,17-18_October,17-18_November,17-18_December,17-18_January,17-18_February,17-18_March,18-19_April,18-19_May,18-19_June,18-19_July,18-19_August,18-19_September,18-19_October,18-19_November,18-19_December,18-19_January,18-19_February,18-19_March,19-20_April,19-20_May,19-20_June,19-20_July,19-20_August,19-20_September,19-20_October,19-20_November,19-20_December,19-20_January,19-20_February,19-20_March,20-21_April,20-21_May,20-21_June,20-21_July,20-21_August,20-21_September,20-21_October,20-21_November,20-21_December,20-21_January,20-21_February,20-21_March,21-22_April,21-22_May,21-22_June,21-22_July,21-22_August,21-22_September,21-22_October,21-22_November,21-22_December,21-22_January,21-22_February,21-22_March,Mean_dev,MH_call_rate,%non-crime,Night-time_ratio,Temporalvolatility(CV),%attended,%highacuity,slope,lsoa_lq,Percentage change
192,E01010763,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,-38.8,0.0242865816636308,67.5,0.225,0.4419417382415921,0.775,0.7,0.0038892474719891,0.5330719338037551,0.2333333333333333
193,E01010764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-70.8,0.0049382716049382,62.5,0.375,0.0,0.625,0.5,0.0,0.1055642783413852,-0.0625
194,E01010765,1.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,2.0,3.0,0.0,3.0,2.0,1.0,1.0,1.0,0.0,-25.799999999999997,0.023225241016652,88.67924528301887,0.1886792452830188,0.4634122416404852,0.9433962264150944,0.8113207547169812,0.0155076093238297,0.5165376747870837,0.1333333333333333
195,E01010766,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-65.8,0.0106907894736842,92.3076923076923,0.3846153846153846,0.0,0.8461538461538461,0.8461538461538461,0.0,0.2347964078504789,0.0
196,E01010767,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-44.8,0.0235457063711911,85.29411764705883,0.2352941176470588,0.5195153450781087,0.8235294117647058,0.7058823529411765,-0.0069730402803115,0.5258960013586905,0.1923076923076923
197,E01010768,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,-60.8,0.011070110701107,72.22222222222221,0.3333333333333333,0.6281300224498751,1.0,0.8333333333333334,0.0014215235387574,0.2435886078781765,0.25
198,E01010769,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62.8,0.0102105934907466,87.5,0.3125,0.2420614591379635,0.75,0.6875,0.0038655462184873,0.2268973491288315,0.0333333333333333
199,E01010770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-60.8,0.0101809954751131,94.44444444444444,0.1111111111111111,0.5546288567359977,0.7222222222222222,0.6666666666666666,-0.0175610625779996,0.2189473757240831,0.141025641025641
200,E01010771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71.8,0.005718954248366,100.0,0.1428571428571428,0.0,1.0,0.8571428571428571,0.0,0.1309298331290102,0.0
201,E01010772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-69.8,0.0070921985815602,100.0,0.0,0.5577733510227171,0.7777777777777778,0.6666666666666666,-0.0180898657848667,0.14985011167261,0.3888888888888888
202,E01010773,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70.8,0.0051216389244558,87.5,0.0,0.3307189138830738,0.875,0.75,0.0040955036598117,0.11864973166123,0.0
203,E01010774,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,2.0,-51.8,0.0169172932330827,88.88888888888889,0.1851851851851851,0.4360314860077462,0.7037037037037037,0.7037037037037037,0.0084358021160995,0.3874502428833485,0.1349206349206349
204,E01010775,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,-61.8,0.0095613048368953,94.11764705882352,0.1176470588235294,0.3506714347510871,0.7647058823529411,0.6470588235294118,-0.0080125390155251,0.2191790098334759,0.0714285714285714
