"","conceptId","term"
"209",23148009,"Undifferentiated attention deficit disorder (disorder)"
"210",23189007,"Idiopathic vulvodynia (disorder)"
"211",23527004,"Cannabis intoxication (disorder)"
"212",23560001,"Asperger's disorder (disorder)"
"213",23645006,"Organic mood disorder (disorder)"
"214",23772009,"Dysphonia of Gilles de la Tourette's syndrome (disorder)"
"215",24109003,"Bromhidrosiphobia (disorder)"
"216",24121004,"Insomnia disorder related to another mental disorder (disorder)"
"217",24125008,"Mental disorder in infancy (disorder)"
"218",24315006,"Factitious disorder with combined physical AND psychological symptoms (disorder)"
"219",24781009,"Panic disorder with agoraphobia, mild agoraphobic avoidance AND panic attacks in full remission (disorder)"
"220",25029006,"Deferred diagnosis on Axis III (disorder)"
"221",25297005,"Psychogenic adductor spastic dysphonia (disorder)"
"222",25501002,"Social phobia (disorder)"
"223",25702006,"Alcohol intoxication (disorder)"
"224",25753007,"Amphetamine-induced sleep disorder (disorder)"
"225",25766007,"Mixed receptive-expressive language disorder (disorder)"
"226",25772007,"Multi-infarct dementia with delusions (disorder)"
"227",25807006,"Relative impotence (disorder)"
"228",25922000,"Major depressive disorder, single episode with postpartum onset (disorder)"
"229",25971005,"Pedophilia, exclusive type (disorder)"
"230",25980005,"Poisoning caused by secobarbital (disorder)"
"231",26025008,"Residual schizophrenia (disorder)"
"232",26203008,"Severe depressed bipolar I disorder with psychotic features, mood-incongruent (disorder)"
"233",26416006,"Drug abuse (disorder)"
"234",26453000,"Mental disorder in adolescence (disorder)"
"235",26472000,"Paraphrenia (disorder)"
"236",26516009,"Severe mood disorder with psychotic features (disorder)"
"237",26530004,"Severe bipolar disorder with psychotic features, mood-incongruent (disorder)"
"238",26665006,"Antisocial personality disorder (disorder)"
"239",26714005,"Cannabis-induced psychotic disorder with hallucinations (disorder)"
"240",26847009,"Chronic schizophrenia with acute exacerbations (disorder)"
"241",26852004,"Primary degenerative dementia of the Alzheimer type, senile onset, with depression (disorder)"
"242",26929004,"Alzheimer's disease (disorder)"
"243",27387000,"Subchronic disorganized schizophrenia (disorder)"
"244",27544004,"Developmental coordination disorder (disorder)"
"245",27720003,"Dermatitis factitia (disorder)"
"246",27803006,"Qi-gong psychotic reaction (disorder)"
"247",27956007,"Cocaine intoxication (disorder)"
"248",28357009,"Transitory postpartum mood disturbance (disorder)"
"249",28368009,"Organic hallucinosis caused by psychoactive substance (disorder)"
"250",28475009,"Severe recurrent major depression with psychotic features (disorder)"
"251",28504009,"Poisoning caused by meprobamate (disorder)"
"252",28663008,"Severe manic bipolar I disorder with psychotic features (disorder)"
"253",28676002,"Mood disorder with manic features due to general medical condition (disorder)"
"254",28857002,"Reactive attachment disorder of infancy OR early childhood (disorder)"
"255",28864000,"Sedative, hypnotic AND/OR anxiolytic-induced mood disorder (disorder)"
"256",28884001,"Moderate bipolar I disorder, single manic episode (disorder)"
"257",29212009,"Organic mental disorder caused by ingestible alcohol (disorder)"
"258",29599000,"Chronic undifferentiated schizophrenia (disorder)"
"259",29657007,"Deferred diagnosis on Axis IV (disorder)"
"260",29733004,"Mood disorder caused by opioid (disorder)"
"261",29929003,"Bipolar I disorder, most recent episode depressed with atypical features (disorder)"
"262",30059008,"Panic disorder with agoraphobia, severe agoraphobic avoidance AND moderate panic attacks (disorder)"
"263",30077003,"Somatoform pain disorder (disorder)"
"264",30310000,"Nicotine-induced organic mental disorder (disorder)"
"265",30336007,"Chronic residual schizophrenia with acute exacerbations (disorder)"
"266",30491001,"Cocaine delusional disorder (disorder)"
"267",30509009,"Gender identity disorder of adolescence, previously homosexual (disorder)"
"268",30520009,"Severe bipolar II disorder, most recent episode major depressive with psychotic features (disorder)"
"269",30599002,"Psychic disease (disorder)"
"270",30605009,"Major depression in partial remission (disorder)"
"271",30687003,"Bipolar II disorder, most recent episode major depressive with postpartum onset (disorder)"
"272",30857006,"Poisoning caused by barbital (disorder)"
"273",30871003,"Flashbacks (disorder)"
"274",30935000,"Manic bipolar I disorder in full remission (disorder)"
"275",30984008,"Poisoning caused by pentobarbital (disorder)"
"276",31027006,"Schizotypal personality disorder (disorder)"
"277",31177006,"Attention deficit hyperactivity disorder, combined type (disorder)"
"278",31216003,"Profound intellectual disability (disorder)"
"279",31297008,"Somatoform disorder (disorder)"
"280",31358003,"Coprophilia (disorder)"
"281",31373002,"Disorganized schizophrenia in remission (disorder)"
"282",31446002,"Bipolar I disorder, most recent episode hypomanic (disorder)"
"283",31611000,"Multiple personality disorder (disorder)"
"284",31648009,"Unaggressive type unsocialized behavior disorder (disorder)"
"285",31658008,"Chronic paranoid schizophrenia (disorder)"
"286",31715000,"Phencyclidine intoxication delirium (disorder)"
"287",31781004,"Panic disorder with agoraphobia, agoraphobic avoidance in partial remission AND mild panic attacks (disorder)"
"288",31956009,"Cocaine dependence (disorder)"
"289",32009006,"Hallucinogen hallucinosis (disorder)"
"290",32174002,"Voice disorder due to psychosexual conflict (disorder)"
