YearTrunk,LSOA11CD,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,17-18,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,18-19,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,19-20,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,20-21,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22,21-22
incident_start_month,,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March,April,May,June,July,August,September,October,November,December,January,February,March
21,E01010589,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
22,E01010590,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,14.0,5.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
23,E01010591,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
24,E01010592,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
25,E01010593,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26,E01010594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
27,E01010595,0.0,3.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,3.0,4.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,1.0,2.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0
28,E01010596,0.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
29,E01010597,2.0,1.0,1.0,1.0,1.0,0.0,1.0,8.0,8.0,11.0,5.0,14.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
30,E01010598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
31,E01010599,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
32,E01010600,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0
33,E01010601,4.0,0.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,4.0,0.0,3.0,0.0,4.0,1.0,3.0,2.0,2.0,4.0,4.0,1.0,1.0,2.0,3.0,1.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,2.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0
34,E01010602,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,4.0,2.0,1.0,0.0,2.0,2.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,4.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
35,E01010603,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
36,E01010604,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0,3.0,0.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0,4.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0
37,E01010605,2.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,8.0,1.0,1.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
38,E01010606,1.0,4.0,0.0,2.0,4.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,3.0,8.0,15.0,10.0,3.0,3.0,0.0,1.0,0.0,2.0,4.0,3.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0
39,E01010607,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,2.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0
40,E01010608,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
41,E01010609,1.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0
42,E01010610,3.0,4.0,9.0,4.0,0.0,8.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,4.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,0.0,3.0,3.0,4.0,2.0,1.0,4.0,3.0,3.0,3.0,5.0,2.0,1.0,5.0,2.0,1.0,0.0,2.0,2.0,1.0,3.0,4.0,3.0,4.0,2.0,0.0,0.0,3.0,2.0,2.0,4.0
43,E01010611,1.0,1.0,0.0,1.0,2.0,0.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,2.0
44,E01010612,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,2.0,2.0,5.0,6.0,3.0,1.0,1.0,6.0,22.0,6.0,6.0,16.0,10.0,2.0,3.0,1.0,2.0,2.0,2.0
45,E01010613,1.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,3.0,0.0,2.0,0.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,3.0,0.0,2.0,2.0,1.0,1.0,2.0
46,E01010614,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,4.0,3.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,4.0,1.0,2.0,0.0,3.0,2.0,3.0,3.0,2.0,1.0,0.0,1.0,2.0,0.0
47,E01010615,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,4.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0
48,E01010616,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,4.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
49,E01010617,6.0,5.0,1.0,1.0,1.0,5.0,4.0,2.0,0.0,3.0,4.0,6.0,9.0,4.0,8.0,3.0,6.0,0.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,3.0,0.0,2.0,2.0,1.0,4.0,9.0,4.0,2.0,2.0,5.0,1.0,1.0,0.0,3.0,4.0,2.0,2.0,0.0,0.0,1.0,5.0,5.0,6.0,11.0,8.0,3.0,0.0,2.0,1.0,3.0
