LSOA21CD,NDVI_MEAN,NDVI_MEDIAN,NDVI_STD,NDVI_MAX,NDVI_MIN,NDVI_CV,VEG_FRAC,EVI_MEAN,EVI_MEDIAN,EVI_STD,EVI_MAX,EVI_MIN,PXL_COUNT,FINAL_PXL_COUNT,PCT_FILTERED
S01015936,0.7994543734117046,0.8332761490826959,0.13385446868276263,0.93732667775929,0.0,0.16743228023324602,0.9875795497085406,0.3787087549352714,0.39538350571521474,0.09667449716646932,0.5974154112720796,0.0,415504,224388,54.003812237667994
S01015937,0.7384021722650794,0.8008163265306123,0.18975090278269832,0.952108843537415,0.0,0.25697500618210467,0.9613760707842536,0.33727270201945314,0.3582240917682083,0.12133765517930774,0.5914792660457837,0.0,1259337,475586,37.76479210886363
S01015938,0.4070349477708529,0.37913699204021784,0.1740859709029966,0.8590950501062861,0.026158788435061954,0.4276929336323258,0.89602909972719,0.12899568980087892,0.10668818361126053,0.07914772381481275,0.43559419708852193,0.006048643830383294,7752,3299,42.55675954592363
S01015939,0.6252701426592624,0.6879376067505967,0.2211907431004962,0.9241106719367589,0.0,0.3537522872270472,0.9195871855514943,0.25972263812360774,0.28548703879058,0.121901424547679,0.5520557888733344,0.0,163758,37208,22.721332698249856
S01015940,0.3991079857635215,0.3774283071230342,0.18998427706818222,0.8835717809570794,0.004542013626040878,0.476022239206086,0.8432279619635056,0.12591202212089955,0.10351711453052802,0.08277482951646593,0.4829706334438961,0.001091921600029118,9548,3891,40.751989945538334
S01015941,0.3742229985294183,0.34052416730162227,0.26379794856932254,0.8833333333333333,0.0,0.7049217969124496,0.6667032003507234,0.13416479088742514,0.0948177938810563,0.12151309373084204,0.4688749580785801,0.0,26750,9124,34.10841121495327
S01015942,0.800495524221139,0.8390191897654584,0.13873437564968535,0.9402031930333817,0.0,0.1733106200495877,0.9871510213879015,0.38476656900481715,0.3971778316632096,0.1019582884043292,0.683548925516378,0.0,626315,283291,45.23139314881489
S01015943,0.5288801885961641,0.5012264922322158,0.16101722854007092,0.8870603420458212,0.18201851035698546,0.30444934790896183,0.9986850756081526,0.17716224393341143,0.15089915945426882,0.0847255534917956,0.45707208023684365,0.04139114005866852,13588,4563,33.581100971445395
S01015944,0.5507085501227299,0.5369030390738061,0.17370661787034836,0.8888888888888888,0.08039017827110663,0.31542386228003255,0.9893408134642356,0.19309043774948847,0.1689251657553425,0.09449098186036518,0.45343073310722676,0.02084932654058204,10112,3565,35.25514240506329
S01015945,0.5155370246733714,0.5111561866125761,0.1774248888968832,0.8887190461632528,0.04051411008661637,0.34415547362344,0.9821543754031391,0.1790557183502254,0.1612257867112293,0.09028251991402159,0.49409473551953764,0.0109001247876355,9546,4651,48.72197779174524
